,Name,Type,Score,Rank,Popularity,Members,URL
43,Duel Masters!!,TV (New),4.73,#11319,#10961,401,https://myanimelist.net/anime/39039/Duel_Masters
44,Watanuki-san Chi no,TV (New),4.33,#13914,#11469,320,https://myanimelist.net/anime/39668/Watanuki-san_Chi_no
45,TV Yarou Nanaana: Wakuwaku Doukutsu Land,TV (New),5.99,#8103,#11558,304,https://myanimelist.net/anime/39581/TV_Yarou_Nanaana__Wakuwaku_Doukutsu_Land
46,Shounen Ashibe: Go! Go! Goma-chan 4,TV (New),5.63,#13392,#11707,284,https://myanimelist.net/anime/39457/Shounen_Ashibe__Go_Go_Goma-chan_4
47,B Rappers Street,TV (New),5.67,#10959,#11762,276,https://myanimelist.net/anime/39031/B_Rappers_Street
48,Kedama no Gonjirou,TV (New),5.53,#12057,#12918,185,https://myanimelist.net/anime/39040/Kedama_no_Gonjirou
49,Bakugan: Battle Planet,TV (New),5.20,#10973,#14182,124,https://myanimelist.net/anime/39622/Bakugan__Battle_Planet
50,Neko no Nyagh: Nya MisÃ©rables,TV (New),7.00,#12707,#15207,70,https://myanimelist.net/anime/38908/Neko_no_Nyagh__Nya_MisÃ©rables
51,Daifuku-kun@Kin Tele 2nd Season,TV (New),5.67,#11231,#15678,26,https://myanimelist.net/anime/39635/Daifuku-kunKin_Tele_2nd_Season
52,Zhu Zhu Xia: Konglong Riji,TV (New),N/A,#14125,#15734,18,https://myanimelist.net/anime/39798/Zhu_Zhu_Xia__Konglong_Riji
53,Gifu no Tatekayoko,TV (New),N/A,#11491,#15742,13,https://myanimelist.net/anime/39664/Gifu_no_Tatekayoko
54,One Piece,TV (Continuing),8.53,#93,#36,"853,095",https://myanimelist.net/anime/21/One_Piece
55,Black Clover,TV (Continuing),7.03,#3594,#207,"362,521",https://myanimelist.net/anime/34572/Black_Clover
56,Tate no Yuusha no Nariagari,TV (Continuing),8.28,#265,#215,"356,495",https://myanimelist.net/anime/35790/Tate_no_Yuusha_no_Nariagari
57,Boruto: Naruto Next Generations,TV (Continuing),6.71,#4943,#299,"292,327",https://myanimelist.net/anime/34566/Boruto__Naruto_Next_Generations
58,Dororo,TV (Continuing),8.49,#110,#319,"271,465",https://myanimelist.net/anime/37520/Dororo
59,Detective Conan,TV (Continuing),8.25,#290,#544,"180,668",https://myanimelist.net/anime/235/Detective_Conan
60,Fairy Tail: Final Series,TV (Continuing),8.21,#320,#616,"161,162",https://myanimelist.net/anime/35972/Fairy_Tail__Final_Series
61,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,TV (Continuing),8.80,#29,#624,"159,557",https://myanimelist.net/anime/37991/JoJo_no_Kimyou_na_Bouken_Part_5__Ougon_no_Kaze
62,Karakuri Circus,TV (Continuing),7.13,#3206,#1823,"47,573",https://myanimelist.net/anime/37447/Karakuri_Circus
63,Crayon Shin-chan,TV (Continuing),7.74,#1022,#2018,"40,256",https://myanimelist.net/anime/966/Crayon_Shin-chan
64,Pokemon Sun & Moon,TV (Continuing),6.83,#4380,#2107,"37,800",https://myanimelist.net/anime/34034/Pokemon_Sun___Moon
65,Gegege no Kitarou (2018),TV (Continuing),6.79,#4573,#2459,"28,784",https://myanimelist.net/anime/37140/Gegege_no_Kitarou_2018
66,YuâGiâOh! VRAINS,TV (Continuing),6.65,#5283,#2883,"21,823",https://myanimelist.net/anime/34866/YuâGiâOh_VRAINS
67,Gudetama,TV (Continuing),7.28,#2575,#4873,"6,562",https://myanimelist.net/anime/23539/Gudetama
