,Name,Type,Score,Rank,Popularity,Members,URL
182,Lupin the IIIrd: Mine Fujiko no Uso,Movie,N/A,N/A,#6306,"3,450",https://myanimelist.net/anime/39487/Lupin_the_IIIrd__Mine_Fujiko_no_Uso
183,Frame Arms Girl Movie: Kyakkya Ufufu na Wonderland,Movie,N/A,N/A,#6520,"3,203",https://myanimelist.net/anime/37600/Frame_Arms_Girl_Movie__Kyakkya_Ufufu_na_Wonderland
184,Ta ga Tame no Alchemist,Movie,N/A,N/A,#6578,"3,130",https://myanimelist.net/anime/37262/Ta_ga_Tame_no_Alchemist
185,Laidbackers,Movie,6.75,#12308,#7320,"2,259",https://myanimelist.net/anime/38558/Laidbackers
186,Pandora to Akubi,Movie,7.47,#12971,#8446,"1,366",https://myanimelist.net/anime/39249/Pandora_to_Akubi
187,Tannishou wo Hiraku,Movie,1.00,#13622,#10268,568,https://myanimelist.net/anime/39479/Tannishou_wo_Hiraku
188,Crayon Shin-chan Movie 27: Shinkon Ryokou Hurricane - Ushinawareta Hiroshi,Movie,7.00,#11220,#10524,497,https://myanimelist.net/anime/38629/Crayon_Shin-chan_Movie_27__Shinkon_Ryokou_Hurricane_-_Ushinawareta_Hiroshi
189,King of Prism: Shiny Seven Stars III - Leo x Yuu x Alexander,Movie,6.12,#12136,#11000,396,https://myanimelist.net/anime/38647/King_of_Prism__Shiny_Seven_Stars_III_-_Leo_x_Yuu_x_Alexander
190,King of Prism: Shiny Seven Stars IV - Louis x Shin x Unknown,Movie,6.50,#12137,#11153,370,https://myanimelist.net/anime/38648/King_of_Prism__Shiny_Seven_Stars_IV_-_Louis_x_Shin_x_Unknown
191,Dayan to Tama to Tobi Neko to: 3-tsu no Neko no Monogatari,Movie,5.67,#11254,#14264,118,https://myanimelist.net/anime/39351/Dayan_to_Tama_to_Tobi_Neko_to__3-tsu_no_Neko_no_Monogatari
192,Sore Ike! Anpanman: Kirameke! Ice no Kuni no Vanilla-hime,Movie,N/A,N/A,#14684,98,https://myanimelist.net/anime/39002/Sore_Ike_Anpanman__Kirameke_Ice_no_Kuni_no_Vanilla-hime
193,One Punch Man 2nd Season Commemorative Special,Special,6.67,#5175,#3243,"17,126",https://myanimelist.net/anime/39652/One_Punch_Man_2nd_Season_Commemorative_Special
194,Poputepipikku Special,Special,7.59,#1430,#3303,"16,514",https://myanimelist.net/anime/37596/Poputepipikku_Special
195,Uchi no Maid ga Uzasugiru!: Uchi no Maid wa Yappari Mou Honto Uzainda naa...,Special,7.03,#3640,#4653,"7,406",https://myanimelist.net/anime/39606/Uchi_no_Maid_ga_Uzasugiru__Uchi_no_Maid_wa_Yappari_Mou_Honto_Uzainda_naa
196,Watashi ni Tenshi ga Maiorita! Special,Special,7.30,#2514,#4835,"7,187",https://myanimelist.net/anime/38999/Watashi_ni_Tenshi_ga_Maiorita_Special
197,MÃ¤rchen MÃ¤dchen Specials,Special,5.99,#8091,#6206,"3,625",https://myanimelist.net/anime/37973/MÃ¤rchen_MÃ¤dchen_Specials
198,Virtual-san wa Miteiru Specials,Special,6.43,#13878,#10621,480,https://myanimelist.net/anime/38998/Virtual-san_wa_Miteiru_Specials
199,Genji Fantasy: Neko ga Hikaru Genji ni Koi wo Shita,Special,5.83,#11475,#11946,263,https://myanimelist.net/anime/39272/Genji_Fantasy__Neko_ga_Hikaru_Genji_ni_Koi_wo_Shita
